name,alias,phone,account,address,prior_case_count
Ajay Deshmukh,Bhau,9945314737,,"Flat 447, Shankarsheth Road, Swargate, Pune",7
Aslam Khan,Chotu,6656272980,13389083863,"H.No. 33, Satara Road, Swargate, Pune",8
Deepak Shinde,,9262849877,,"Flat 450, Kondhwa Khurd, Kondhwa, Pune",2
Dinesh Deshmukh,Mama,6318699938,3487401640052,"H.No. 735, Kausar Baug, Kondhwa, Pune",1
Imran Shaikh,Anna,9855744431,,"H.No. 169, Mithanagar, Kondhwa, Pune",7
Irfan Shaikh,Sonu,6671902294,,"H.No. 827, Sachapir Street, Camp, Pune",1
Javed Ansari,,,,"Flat 448, Kausar Baug, Kondhwa, Pune",2
Kiran Desai,Dada,,164752553419,"H.No. 876, Atul Nagar, Warje, Pune",3
Prakash Jadhav,Pintya,6904966319,,"H.No. 395, Market Yard, Swargate, Pune",7
Ramesh Kulkarni,,,,"Flat 223, Kausar Baug, Kondhwa, Pune",3
Ramesh More,Baba,,16155940781,"H.No. 345, Karve Nagar, Warje, Pune",7
Ravindra Chavan,Guru,,,"Flat 476, Sachapir Street, Camp, Pune",2
Rohit Kamble,Bhagya,9783777014,,"Flat 373, Karve Road, Kothrud, Pune",6
Sachin Patil,,,,"H.No. 795, Atul Nagar, Warje, Pune",1
Salman Khan,,,,"H.No. 409, Market Yard, Swargate, Pune",6
Sanjay Jadhav,,8134352408,,"Flat 261, East Street, Camp, Pune",2
Santosh Kadam,,7400842710,,"H.No. 41, Pashan Sus Road, Baner, Pune",2
Sunil Thorat,Danny,,,"Flat 391, East Street, Camp, Pune",3
Tanveer Sayyed,Chandu,,,"Flat 112, Solapur Road, Hadapsar, Pune",1
Vaibhav Patil,Tinku,6330923271,,"Flat 256, Balewadi Phata, Baner, Pune",7
Vaibhav Sawant,,9507527354,,"Flat 33, Satara Road, Swargate, Pune",6
Vijay Desai,Vicky,,1834738299737,"Flat 17, Kondhwa Khurd, Kondhwa, Pune",7
